id;question;jhi_value;answer;wrong_answer_1;wrong_answer_2;wrong_answer_3
1;Brand;69835;Kiribati Operations Markets;United States of America;withdrawal violet systematic;system-worthy
2;Granite Nepalese Rupee;42071;open-source;invoice;Surinam Dollar interface focus group;global Buckinghamshire Mouse
3;Avon Gorgeous Associate;38947;Borders Response pink;mission-critical utilize;Generic schemas calculate;Buckinghamshire
4;empowering Representative Checking Account;53961;ivory generate web-readiness;facilitate digital;Congolese Franc back up;CSS
5;New York;59381;Way Unbranded payment;calculate Bermudian Dollar (customarily known as Bermuda Dollar) metrics;Electronics 1080p;payment asynchronous
6;Dam Chicken Pound Sterling;22066;yellow;Turnpike program;Savings Account;compress
7;Refined;43169;Gloves Specialist reintermediate;Corporate Adaptive;methodologies Saudi Riyal Engineer;Public-key
8;Tactics;94418;transmitting XML;Bike;Extensions TCP Rwanda Franc;Analyst Lebanese Pound protocol
9;Crossing;81066;indexing;payment;Valleys;Outdoors
10;networks Right-sized vertical;82383;Integrated Practical Money Market Account;Mississippi;Baby Bedfordshire e-commerce;asynchronous
